Capital,Comunidad autónoma,Nombre oficial,Poblacion,Superficie,%Poblacion,%Superficie2,lat,lon,prov,code
Madrid,Comunidad de Madrid,Madrid,7113886,8028,0.14480221042467645,0.015865863491912914,40.495,-3.717,Madrid,28
Barcelona,Cataluña,Barcelona,5959941,7728,0.12131381228215585,0.015272968742588816,41.73,1.9837,Barcelona,8
Valencia,Comunitat Valenciana,Valencia/València,2763996,10807,0.056260773704409094,0.021358045186485163,39.37,-0.8,Valencia,46
Alicante,Comunitat Valenciana,Alicante/Alacant,2033566,5817,0.04139296747859996,0.011496229189394299,38.478,-0.568,Alicante,3
Sevilla,Andalucía,Sevilla,1977664,14036,0.04025508964823267,0.027739569005043558,37.435,-5.682,Sevilla,41
Málaga,Andalucía,Málaga,1791183,7306,0.03645929351062179,0.014438963461872916,36.813,-4.725,Málaga,29
Murcia,Región de Murcia,Murcia,1586989,11314,0.03230295159630711,0.02236003731284289,38.002,-1.485,Murcia,30
Cádiz,Andalucía,Cádiz,1261420,7440,0.02567603757972722,0.01470378978323768,36.553,-5.76,Cádiz,11
Palma,Illes Balears,"Balears, Illes",1249844,4992,0.025440409627876984,0.009865768628753024,39.574,2.9124,Islas Baleares,7
Las Palmas de Gran Canaria,Canarias,"Palmas, Las",1171547,4066,0.02384668452887752,0.008035700169172636,28.365,-14.54,Las Palmas,35
Bilbao,País Vasco,Bizkaia,1167233,2217,0.02375887362836941,0.004381492197505099,43.238,-2.851,Vizcaya,48
La Coruña,Galicia,"Coruña, A",1135623,7950,0.02311545625121099,0.01571171085708865,43.126,-8.464,La Coruña,15
Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife,1087319,3381,0.0221322347078304,0.006681923824882607,28.312,-17.01,Santa Cruz de Tenerife,38
Oviedo,Principado de Asturias,Asturias,1015128,10604,0.02066279643277682,0.020956853072775856,43.292,-5.993,Asturias,33
Zaragoza,Aragón,Zaragoza,998443,17274,0.02032317546036656,0.03413887966608168,41.62,-1.064,Zaragoza,50
Pontevedra,Galicia,Pontevedra,947818,4495,0.019292710268381582,0.008883539660706099,42.435,-8.461,Pontevedra,36
Granada,Andalucía,Granada,945797,12647,0.01925157308017414,0.024994466315672974,37.312,-3.267,Granada,18
Tarragona,Cataluña,Tarragona,875530,6303,0.017821297571132988,0.012456718683299341,41.087,0.818,Tarragona,43
Gerona,Cataluña,Girona,830429,5910,0.01690327266992381,0.01168002656168477,42.127,2.6733,Gerona,17
Córdoba,Andalucía,Córdoba,773163,13771,0.015737630799618395,0.02721584530980727,37.992,-4.809,Córdoba,14
Almería,Andalucía,Almería,770554,8775,0.015684524949032937,0.017342171417729924,37.196,-2.344,Almería,4
Toledo,Castilla-La Mancha,Toledo,755081,15370,0.015369574076626348,0.030375974323704723,39.793,-4.148,Toledo,45
San Sebastián,País Vasco,Gipuzkoa,733149,1980,0.014923151111873468,0.00391310534553906,43.143,-2.194,Guipúzcoa,20
Pamplona,Comunidad Foral de Navarra,Navarra,683854,10391,0.01391975789431496,0.020535897800755744,42.667,-1.646,Navarra,31
Badajoz,Extremadura,Badajoz,665155,21766,0.01353914221777319,0.04301649037929454,38.709,-6.141,Badajoz,6
