date,Spot_Price_SPEL,Future_M1_Price,Future_M1_OpenInterest,Future_M2_Price,Future_M2_OpenInterest,Future_M3_Price,Future_M3_OpenInterest,Future_M4_Price,Future_M4_OpenInterest,Future_M5_Price,Future_M5_OpenInterest,Future_M6_Price,Future_M6_OpenInterest
2020-01-01,35.54,,,,,,,,,,,,
2020-01-02,40.0,44.81,1383.0,41.7,1397.0,38.54,10.0,42.11,0.0,47.41,0.0,46.23,0.0
2020-01-03,39.51,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0
2020-01-04,35.67,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0
2020-01-05,38.18,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0
2020-01-06,42.17,44.35,1383.0,40.5,1420.0,38.38,10.0,41.93,0.0,47.21,0.0,46.54,0.0
2020-01-07,47.01,44.28,1383.0,40.03,1420.0,38.11,10.0,41.63,0.0,46.88,0.0,45.97,0.0
2020-01-08,46.81,43.07,1383.0,39.1,1436.0,37.57,10.0,41.04,0.0,46.21,0.0,45.25,0.0
2020-01-09,44.21,42.5,1383.0,38.7,1441.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0
2020-01-10,40.57,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0
2020-01-11,41.84,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0
2020-01-12,42.36,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0
2020-01-13,46.49,41.6,1446.0,38.43,1439.0,37.15,10.0,41.02,0.0,46.19,0.0,45.28,0.0
2020-01-14,38.68,40.87,1471.0,37.6,1439.0,36.66,10.0,40.48,0.0,45.58,0.0,44.55,0.0
2020-01-15,38.45,40.6,1476.0,37.68,1439.0,36.52,10.0,40.82,0.0,45.97,0.0,44.4,0.0
2020-01-16,38.53,40.35,1471.0,37.08,1444.0,36.25,10.0,40.64,0.0,45.76,0.0,44.06,0.0
2020-01-17,39.4,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0
2020-01-18,38.3,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0
2020-01-19,29.76,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0
2020-01-20,35.71,39.9,1475.0,37.1,1445.0,36.5,20.0,40.25,0.0,44.09,0.0,43.51,0.0
2020-01-21,39.1,41.32,1470.0,38.35,1449.0,37.14,20.0,40.96,0.0,44.35,0.0,43.68,0.0
