date,total_cost_spot_only,reference_extreme_threshold,total_cost_static_hedge,cost_difference_static_hedge_vs_spot_only,total_cost_heuristic_policy,cost_difference_heuristic_policy_vs_spot_only,total_cost_rl_policy,cost_difference_rl_policy_vs_spot_only
2025-01-02,136700.40000000002,111963.36,107412.12,-29288.280000000028,94860.0,-41840.40000000002,116190.40000000001,-20510.000000000015
2025-01-03,124786.8,111963.36,105515.94,-19270.86,97257.0,-27529.800000000003,111291.8,-13495.0
2025-01-04,113801.4,111963.36,102220.31999999999,-11581.080000000002,97257.0,-16544.399999999994,104075.0,-9726.399999999994
2025-01-10,113750.4,111963.36,96957.12,-16793.28,89760.0,-23990.399999999994,101990.4,-11760.0
2025-01-13,128326.2,111963.36,103471.86,-24854.339999999997,92820.0,-35506.2,110921.20000000001,-17404.999999999985
2025-01-14,140586.6,111963.36,105900.48000000001,-34686.119999999995,91035.0,-49551.600000000006,116296.6,-24290.0
2025-01-15,143493.6,111963.36,106237.08,-37256.520000000004,90270.0,-53223.600000000006,117403.6,-26090.0
2025-01-16,137791.80000000002,111963.36,100778.04000000001,-37013.76000000001,84915.0,-52876.80000000002,111871.8,-25920.000000000015
2025-01-17,138332.4,111963.36,101047.32,-37285.07999999999,85068.0,-53264.399999999994,112222.40000000001,-26109.999999999985
2025-01-18,135823.19999999998,111963.36,100294.56,-35528.639999999985,85068.0,-50755.19999999998,110943.2,-24879.999999999985
2025-01-19,127612.2,111963.36,97831.26000000001,-29780.939999999988,85068.0,-42544.2,106757.2,-20855.0
2025-01-20,147818.4,111963.36,107356.01999999999,-40462.380000000005,90015.0,-57803.399999999994,119483.4,-28335.0
2025-01-21,143412.0,111963.36,107997.6,-35414.399999999994,92820.0,-50592.0,118612.0,-24800.0
2025-01-22,137659.2,111963.36,104129.76000000001,-33529.44,89760.0,-47899.20000000001,114179.2,-23480.000000000015
2025-01-23,143361.0,111963.36,106197.3,-37163.7,90270.0,-53091.0,117336.0,-26025.0
2025-02-02,127234.79999999999,111963.36,110462.94,-16771.859999999986,103275.0,-23959.79999999999,115489.79999999999,-11745.0
2025-02-03,135711.0,111963.36,81589.8,-54121.2,58395.0,-77316.0,97811.0,-37900.0
2025-02-04,146257.8,111963.36,82183.44,-64074.359999999986,54723.0,-91534.79999999999,101387.79999999999,-44870.0
2025-02-05,119860.20000000001,111963.36,72479.16,-47381.04000000001,52173.0,-67687.20000000001,86680.20000000001,-33180.0
2025-02-06,141372.0,111963.36,77576.1,-63795.899999999994,50235.0,-91137.0,96697.0,-44675.0
2025-02-07,120227.40000000001,111963.36,73160.52,-47066.880000000005,52989.0,-67238.40000000001,87267.4,-32960.000000000015
2025-02-10,142534.80000000002,111963.36,82387.44,-60147.360000000015,56610.0,-85924.80000000002,52044.8,-90490.00000000001
2025-02-11,135823.19999999998,111963.36,79588.56,-56234.639999999985,55488.0,-80335.19999999998,96443.2,-39379.999999999985
2025-02-12,122257.2,111963.36,73983.66,-48273.53999999999,53295.0,-68962.2,88452.2,-33805.0
2025-02-13,133599.59999999998,111963.36,78992.88,-54606.71999999997,55590.0,-78009.59999999998,95359.59999999999,-38239.999999999985
2025-02-14,123491.4,111963.36,76781.51999999999,-46709.880000000005,56763.0,-66728.4,90781.4,-32710.0
2025-02-17,140933.4,111963.36,80943.12,-59990.28,55233.0,-85700.4,98923.4,-42010.0
2025-02-19,126031.2,111963.36,74758.86,-51272.34,52785.0,-73246.2,90126.20000000001,-35904.999999999985
2025-02-27,122838.6,111963.36,77549.58,-45289.020000000004,58140.0,-64698.600000000006,91123.6,-31715.0
2025-02-28,113434.2,111963.36,72050.76,-41383.44,54315.0,-59119.2,84454.2,-28980.0
2025-03-13,113964.6,111963.36,59250.780000000006,-54713.82,35802.0,-78162.6,110718.6,-3246.0
2025-06-19,118789.2,111963.36,94898.76,-23890.440000000002,84660.0,-34129.2,102059.2,-16730.0
2025-06-20,115515.0,111963.36,93916.5,-21598.5,84660.0,-30855.0,100390.0,-15125.0
2025-06-23,112771.2,111963.36,95235.36,-17535.839999999997,87720.0,-25051.199999999997,197271.2,84500.00000000001
2025-06-30,113158.8,111963.36,87604.74,-25554.059999999998,76653.0,-36505.8,95263.79999999999,-17895.000000000015
2025-07-01,113424.0,111963.36,85935.0,-27489.0,74154.0,-39270.0,94174.0,-19250.0
2025-10-16,112077.59999999999,111963.36,87316.08,-24761.51999999999,76704.0,-35373.59999999999,94737.6,-17339.999999999985
