date,total_cost_spot_only,action_spot_only,total_cost_static_hedge,action_static_hedge,total_cost_heuristic_policy,action_heuristic_policy,total_cost_rl_policy,action_rl_policy
2025-01-01,102948.6,buy_on_spot,100499.58,static_m1_hedge,99450.0,buy_m1_future,99518.6,P=1000|M1=1000|M2=0|M3=0
2025-01-02,136700.40000000002,buy_on_spot,107412.12,static_m1_hedge,94860.0,buy_m1_future,111650.0,P=1000|M1=0|M2=1000|M3=1000
2025-01-03,124786.8,buy_on_spot,105515.94,static_m1_hedge,97257.0,buy_m1_future,58846.8,P=1000|M1=0|M2=500|M3=500
2025-01-04,113801.4,buy_on_spot,102220.31999999999,static_m1_hedge,97257.0,buy_m1_future,73656.4,P=1000|M1=500|M2=0|M3=500
2025-01-05,52468.799999999996,buy_on_spot,83820.54,static_m1_hedge,97257.0,buy_m1_future,96378.8,P=1000|M1=1000|M2=0|M3=0
2025-01-06,46338.6,buy_on_spot,82088.58,static_m1_hedge,97410.0,buy_m1_future,96408.6,P=1000|M1=1000|M2=0|M3=0
2025-01-07,85098.6,buy_on_spot,93966.48,static_m1_hedge,97767.0,buy_m1_future,104800.0,P=1000|M1=500|M2=500|M3=500
2025-01-08,100898.40000000001,buy_on_spot,96278.82,static_m1_hedge,94299.0,buy_m1_future,50228.4,P=1000|M1=0|M2=0|M3=1000
2025-01-09,89148.0,buy_on_spot,90647.4,static_m1_hedge,91290.0,buy_m1_future,129550.0,P=1000|M1=500|M2=1000|M3=500
2025-01-10,113750.4,buy_on_spot,96957.12,static_m1_hedge,89760.0,buy_m1_future,90230.4,P=1000|M1=1000|M2=0|M3=0
2025-01-11,97797.59999999999,buy_on_spot,92171.28,static_m1_hedge,89760.0,buy_m1_future,89917.6,P=1000|M1=1000|M2=0|M3=0
2025-01-12,75194.4,buy_on_spot,85390.32,static_m1_hedge,89760.0,buy_m1_future,89474.4,P=1000|M1=1000|M2=0|M3=0
2025-01-13,128326.2,buy_on_spot,103471.86,static_m1_hedge,92820.0,buy_m1_future,93516.2,P=1000|M1=1000|M2=0|M3=0
2025-01-14,140586.6,buy_on_spot,105900.48000000001,static_m1_hedge,91035.0,buy_m1_future,92006.6,P=1000|M1=1000|M2=0|M3=0
2025-01-15,143493.6,buy_on_spot,106237.08,static_m1_hedge,90270.0,buy_m1_future,105250.0,P=1000|M1=500|M2=1000|M3=0
2025-01-16,137791.80000000002,buy_on_spot,100778.04000000001,static_m1_hedge,84915.0,buy_m1_future,85951.8,P=1000|M1=1000|M2=0|M3=0
2025-01-17,138332.4,buy_on_spot,101047.32,static_m1_hedge,85068.0,buy_m1_future,86112.4,P=1000|M1=1000|M2=0|M3=0
2025-01-18,135823.19999999998,buy_on_spot,100294.56,static_m1_hedge,85068.0,buy_m1_future,86063.2,P=1000|M1=1000|M2=0|M3=0
2025-01-19,127612.2,buy_on_spot,97831.26000000001,static_m1_hedge,85068.0,buy_m1_future,95050.0,P=1000|M1=500|M2=500|M3=500
