Date,Spot_Price_SPEL,Future_M1_Price,Future_M1_OpenInterest,Future_M2_Price,Future_M2_OpenInterest,Future_M3_Price,Future_M3_OpenInterest,Future_M4_Price,Future_M4_OpenInterest,Future_M5_Price,Future_M5_OpenInterest,Future_M6_Price,Future_M6_OpenInterest,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunrise,sunset,daylight_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,surface_pressure_mean,et0_fao_evapotranspiration_sum,city,is_holiday,holiday_name
2020-01-01,35.54,,,,,,,,,,,,,2020-01-01,3.0,18.397917,19.45,17.3,14.421073,31.682043,44.28,14.54,2020-01-01 07:50:04,2020-01-01 18:12:28,37343.49,0.0,0.0,0.0,0.0,1027.3959,4.4110537,Las Palmas,,
2020-01-02,40.0,44.81,1383.0,41.7,1397.0,38.54,10.0,42.11,0.0,47.41,0.0,46.23,0.0,2020-01-02,3.0,4.10625,8.35,-0.35,1.4015989,8.0899935,14.04,8.57,2020-01-02 07:19:18,2020-01-02 16:32:29,33191.297,0.0,0.0,0.0,0.0,962.5413,0.9153385,Barcelona,,
2020-01-03,39.51,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0,2020-01-03,3.0,8.074999,13.45,4.65,4.6513753,21.349546,45.36,8.85,2020-01-03 07:23:08,2020-01-03 16:51:12,34084.34,0.0,0.0,0.0,0.0,988.73724,1.738529,Valencia,,
2020-01-04,35.67,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0,2020-01-04,3.0,9.976749,14.483,5.883,8.123406,13.684735,29.16,7.53,2020-01-04 07:35:18,2020-01-04 17:20:09,35091.035,0.0,0.0,0.0,0.0,993.0092,1.1186894,Cádiz,,
2020-01-05,38.18,45.25,1383.0,41.9,1405.0,38.9,10.0,42.5,0.0,47.85,0.0,46.67,0.0,2020-01-05,0.0,8.159084,13.2945,3.7444997,5.4626365,10.538843,20.16,10.52,2020-01-05 07:22:06,2020-01-05 16:59:47,34660.61,0.0,0.0,0.0,0.0,966.238,1.4171027,Murcia,,
2020-01-06,42.17,44.35,1383.0,40.5,1420.0,38.38,10.0,41.93,0.0,47.21,0.0,46.54,0.0,2020-01-06,51.0,18.054167,18.7,17.1,14.826709,33.657593,45.719997,11.99,2020-01-06 07:51:08,2020-01-06 18:16:08,37498.555,1.2,1.2,0.0,6.0,1025.4459,3.15222,Las Palmas,,
2020-01-07,47.01,44.28,1383.0,40.03,1420.0,38.11,10.0,41.63,0.0,46.88,0.0,45.97,0.0,2020-01-07,51.0,18.295832,19.55,17.55,15.159146,31.902174,45.0,13.96,2020-01-07 07:51:16,2020-01-07 18:16:54,37535.934,0.2,0.2,0.0,1.0,1025.7499,3.5941095,Las Palmas,,
2020-01-08,46.81,43.07,1383.0,39.1,1436.0,37.57,10.0,41.04,0.0,46.21,0.0,45.25,0.0,2020-01-08,51.0,8.172915,11.6,3.15,5.718155,14.799459,31.319998,6.76,2020-01-08 07:23:07,2020-01-08 16:55:49,34362.37,0.1,0.1,0.0,1.0,987.8317,1.0321553,Valencia,,
2020-01-09,44.21,42.5,1383.0,38.7,1441.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0,2020-01-09,3.0,4.272917,10.6,-0.05,1.7181072,9.107359,20.16,8.65,2020-01-09 07:18:57,2020-01-09 16:39:14,33617.84,0.0,0.0,0.0,0.0,958.3454,0.95475376,Barcelona,,
2020-01-10,40.57,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0,2020-01-10,51.0,10.264584,13.1,6.5,7.368339,30.760519,58.32,5.95,2020-01-10 07:08:47,2020-01-10 16:42:55,34448.49,1.2000002,1.2000002,0.0,8.0,1003.622,1.1042182,Islas Baleares,,
2020-01-11,41.84,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0,2020-01-11,2.0,8.419416,14.934,2.9840002,6.097679,8.089993,19.08,10.83,2020-01-11 07:31:43,2020-01-11 17:21:35,35391.445,0.0,0.0,0.0,0.0,984.2856,1.555752,Málaga,,
2020-01-12,42.36,42.25,1386.0,38.25,1439.0,37.48,10.0,40.94,0.0,46.1,0.0,45.28,0.0,2020-01-12,3.0,4.8166666,11.65,-0.35,2.2171562,8.049845,12.959999,7.3,2020-01-12 07:42:01,2020-01-12 16:56:49,33288.29,0.0,0.0,0.0,0.0,1020.92944,0.8695305,Vizcaya,,
2020-01-13,46.49,41.6,1446.0,38.43,1439.0,37.15,10.0,41.02,0.0,46.19,0.0,45.28,0.0,2020-01-13,3.0,8.24375,14.65,2.8,5.8646836,10.195057,20.16,10.33,2020-01-13 07:36:31,2020-01-13 17:25:28,35335.297,0.0,0.0,0.0,0.0,1004.2129,1.3810912,Sevilla,,
2020-01-14,38.68,40.87,1471.0,37.6,1439.0,36.66,10.0,40.48,0.0,45.58,0.0,44.55,0.0,2020-01-14,0.0,18.379166,19.15,17.95,15.2175,27.534704,36.719997,15.22,2020-01-14 07:51:26,2020-01-14 18:22:19,37850.617,0.0,0.0,0.0,0.0,1021.6875,3.9419622,Las Palmas,,
2020-01-15,38.45,40.6,1476.0,37.68,1439.0,36.52,10.0,40.82,0.0,45.97,0.0,44.4,0.0,2020-01-15,3.0,9.399999,15.15,5.1,6.008272,17.727943,41.399998,9.7,2020-01-15 07:18:35,2020-01-15 17:04:40,35164.29,0.0,0.0,0.0,0.0,964.66437,1.8604256,Alicante,,
2020-01-16,38.53,40.35,1471.0,37.08,1444.0,36.25,10.0,40.64,0.0,45.76,0.0,44.06,0.0,2020-01-16,3.0,10.627083,16.35,6.0,8.980501,12.031756,26.28,9.27,2020-01-16 07:07:03,2020-01-16 16:49:02,34919.938,0.0,0.0,0.0,0.0,1007.0659,1.351932,Islas Baleares,,
2020-01-17,39.4,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0,2020-01-17,2.0,6.870834,11.95,1.2,3.627778,22.33161,48.239998,9.41,2020-01-17 07:16:10,2020-01-17 16:47:54,34304.734,0.0,0.0,0.0,0.0,958.1619,1.298645,Barcelona,,
2020-01-18,38.3,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0,2020-01-18,3.0,5.4354167,10.65,1.25,2.8609889,8.587338,20.16,8.88,2020-01-18 07:15:38,2020-01-18 16:49:04,34406.69,0.0,0.0,0.0,0.0,958.58563,1.1236365,Barcelona,,
2020-01-19,29.76,40.5,1471.0,37.23,1444.0,36.38,10.0,40.47,0.0,45.56,0.0,44.11,0.0,2020-01-19,53.0,5.783333,8.9,4.0,0.22534947,33.651817,69.12,2.7,2020-01-19 07:15:04,2020-01-19 16:50:15,34512.05,2.5,2.5,0.0,7.0,953.4449,1.8279574,Barcelona,,
2020-01-20,35.71,39.9,1475.0,37.1,1445.0,36.5,20.0,40.25,0.0,44.09,0.0,43.51,0.0,2020-01-20,61.0,4.364583,5.5,3.25,-2.108555,33.74796,76.32,4.18,2020-01-20 07:14:28,2020-01-20 16:51:28,34620.62,16.6,16.6,0.0,18.0,958.0568,1.5293581,Barcelona,,
2020-01-21,39.1,41.32,1470.0,38.35,1449.0,37.14,20.0,40.96,0.0,44.35,0.0,43.68,0.0,2020-01-21,61.0,6.065333,8.4445,4.0945,3.1023362,20.018072,39.6,5.5,2020-01-21 07:18:07,2020-01-21 17:15:38,35851.426,17.500002,17.500002,0.0,21.0,951.46484,0.7079971,Murcia,,
2020-01-22,47.27,41.5,1455.0,38.6,1460.0,37.29,20.0,41.12,0.0,45.5,0.0,44.07,0.0,2020-01-22,55.0,6.4,8.85,4.1,4.711093,7.6367526,17.28,3.24,2020-01-22 07:36:25,2020-01-22 17:08:53,34346.848,3.3000002,3.3000002,0.0,8.0,1013.7493,0.45632386,Vizcaya,,
